
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2024年01月26日","2026年01月25日","15","1","15"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2024/01/30","ＳＢＩ・ｉシェアーズ・インド株式インデックス・ファンド",,,投信金額買付,"--"," NISA(成) ","--",47461,10535,--,--,"2024/02/02",50000
"2024/03/01","丸紅","8002","--",株式現物買,"--"," NISA(成) ","--",10,2498,--,--,"2024/03/05",24980
"2024/07/12","楽天グループ","4755","--",株式現物買,"--"," NISA(成) ","--",20,912.8,--,--,"2024/07/17",18256
"2024/07/12","伊藤忠商事","8001","--",株式現物買,"--"," NISA(成) ","--",6,7970,--,--,"2024/07/17",47820
"2024/07/29","信越化学工業","4063","--",株式現物買,"--"," NISA(成) ","--",7,6844,--,--,"2024/07/31",47908
"2024/07/29","ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）",,,投信金額買付,"--"," NISA(成) ","--",23805,21004,--,--,"2024/08/01",50000
"2024/08/02","ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",,,投信金額買付,"--"," NISA(つ) ","--",20429,24475,--,--,"2024/08/08",50000
"2024/08/09","東京エレクトロン","8035","--",株式現物買,"--"," NISA(成) ","--",2,25810,--,--,"2024/08/14",51620
"2024/08/09","三井住友フィナンシャルグループ","8316","--",株式現物買,"--"," NISA(成) ","--",5,8968,--,--,"2024/08/14",44840
"2024/08/09","ＫＤＤＩ","9433","--",株式現物買,"--"," NISA(成) ","--",10,4509,--,--,"2024/08/14",45090
"2025/10/09","東海旅客鉄道","9022","--",株式現物売,"--"," 旧NISA ","非課税",35,4340,--,--,"2025/10/14",151900
"2025/10/09","ＡＮＡホールディングス","9202","--",株式現物売,"--"," 旧NISA ","非課税",40,2821,--,--,"2025/10/14",112840
"2025/10/10","ｅＭＡＸＩＳ　Ｎｅｏ　自動運転",,,投信金額解約,"--"," 旧NISA ","非課税",31010,32589,--,--,"2025/10/16",101058
"2025/11/06","ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",,,投信口数解約,"--"," 旧NISA ","非課税",62081,32084,--,--,"2025/11/12",199181
"2025/11/06","ＳＢＩ・Ｖ・Ｓ＆Ｐ５００インデックス・ファンド",,,投信口数解約,"--"," 旧NISA ","非課税",117083,34940,--,--,"2025/11/11",409088


