通貨指定,商品指定,期間（国内約定日）開始,期間（国内約定日）終了,明細数
"すべての通貨","すべての商品","2024年01月02日","2026年02月02日","27"
国内約定日,通貨,銘柄名,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2026年01月28日","日本円","マイクロソフト MSFT / NASDAQ","買付","NISA","1","477.535","26/01/30","73063"
"2026年01月26日","日本円","ヒムズ&ハーズヘルス HIMS / New York Stock Exchange","買付","NISA","10","30.05","26/01/28","46598"
"2026年01月14日","日本円","アルファベット A GOOGL / NASDAQ","買付","NISA","1","334.66","26/01/16","53381"
"2025年10月29日","日本円","マイクロソフト MSFT / NASDAQ","買付","NISA","1","550.5","25/10/31","83593"
"2025年10月27日","日本円","ヒムズ&ハーズヘルス HIMS / New York Stock Exchange","買付","NISA","13","50","25/10/29","99599"
"2025年10月23日","米国ドル","テスラ TSLA / NASDAQ","買付","NISA","1","443.46","25/10/27","443.46"
"2025年09月16日","米国ドル","エヌビディア NVDA / NASDAQ","買付","NISA","1","177.94","25/09/18","177.94"
"2025年09月16日","米国ドル","アルファベット A GOOGL / NASDAQ","買付","NISA","2","240.53","25/09/18","481.06,"13.7"
"2025年05月30日","日本円","エヌビディア NVDA / NASDAQ","買付","NISA","1","141.245","25/06/03","20331"
"2025年04月28日","米国ドル","テスラ TSLA / NASDAQ","買付","NISA","1","261.68","25/05/01","261.68"
"2025年04月18日","米国ドル","マイクロソフト MSFT / NASDAQ","買付","NISA","1","373.83","25/04/22","373.83"
"2025年04月14日","米国ドル","アルファベット A GOOGL / NASDAQ","買付","NISA","2","152.89","25/04/16","305.78"
"2025年03月26日","米国ドル","ST SPDRポートフォリオS&P500高配当株式ETF SPYD / NYSE ARCA","買付","NISA","7","44","25/03/28","308"
